Wavenumber	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Averaged Intensity	Normalised Intensity
cm\+(-1)	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.
	Sequence 1	Sequence 2	Sequence 3	Sequence 4	Sequence 5	Sequence 6	Sequence 7	Sequence 8	Sequence 9	Sequence 10	Sequence 11	Sequence 12	Sequence 13	Sequence 14	Sequence 15	Sequence 16	Sequence 17	Sequence 18	Sequence 19	Sequence 20	Sequence 21	Sequence 22	Sequence 23	Sequence 24	Sequence 25	Sequence 26	Sequence 27	Sequence 28	Sequence 29	Sequence 30	Sequence 31	Sequence 32	Sequence 33	Sequence 34	Sequence 35	Sequence 36	Sequence 37	Sequence 38	Sequence 39	Sequence 40	Sequence 41	Sequence 42	Sequence 43	Sequence 44	Sequence 45	Sequence 46	Sequence 47	Sequence 48	Sequence 49	Sequence 50	Sequence 51	Sequence 52	Sequence 53	Sequence 54	Sequence 55	Sequence 56	Sequence 57	Sequence 58	Sequence 59	Sequence 60	Sequence 61	Sequence 62	Sequence 63	Sequence 64	Sequence 65	Sequence 66	Sequence 67	Sequence 68	Sequence 69	Sequence 70	Sequence 71	Sequence 72	Sequence 73	Sequence 74	Sequence 75	Sequence 76	Sequence 77	Sequence 78	Sequence 79	Sequence 80	Sequence 81	Sequence 82	Sequence 83	Sequence 84	Sequence 85	Sequence 86	Sequence 87	Sequence 88	Sequence 89	Sequence 90	Sequence 91	Sequence 92	Sequence 93	Sequence 94	Sequence 95	Sequence 96	Sequence 97	Sequence 98	Sequence 99	Sequence 100		
1911.009766	-49.770027	27.254045	10.23312	-34.848457	-9.225567	-4.612669	28.742401	-35.062	11.819233	71.773987	13.859182	21.065605	-17.279699	-4.676877	15.473475	0.038843	-19.600283	-22.544596	1.812085	19.174072	-33.976013	18.6901	21.458975	22.654289	6.452497	1.131139	-23.467991	1.465816	0.532666	-4.157872	-48.732388	-13.457186	-8.638556	-20.220078	-2.377854	21.7966	-6.151799	-21.017689	21.801531	-35.355846	8.340838	22.208908	7.112838	-18.184004	5.403886	-21.561743	-15.58605	8.936509	-32.775505	8.231394	-23.839022	-9.22893	30.617426	20.510296	-23.54233	-12.796645	-10.516896	7.580445	17.546709	-1.798436	27.821903	-7.590426	16.633083	-3.237762	-21.672707	8.227119	-6.992853	-0.686528	-26.343102	-0.838445	-14.312874	-1.873127	21.764774	-13.978942	-25.770582	-34.027695	-10.901659	-0.393739	-18.373384	14.669808	-30.104876	-7.309828	-12.729379	22.061668	0.420623	-7.7946	-17.466284	-2.392334	-10.546544	13.704583	8.207232	8.500344	-24.40094	-2.956913	2.023898	-14.072956	-15.775103	5.726521	-19.083626	23.05286	-2.900969	0.009825
1909.671875	16.116899	-33.717361	7.273334	0.852506	14.138161	-9.725513	-28.816963	3.637818	6.442778	11.626133	13.878472	-15.511389	-7.56102	30.66036	5.931849	27.694613	-4.655801	-5.208529	38.276047	-27.168747	10.429887	20.710632	5.570017	52.54504	-4.347648	-16.219858	11.812118	-1.650985	-12.594211	-3.662074	15.366722	7.307018	50.974052	0.509335	1.225398	58.808342	6.555753	22.928034	44.883377	17.235542	4.309928	-19.343502	-3.74257	59.229832	-10.647736	-7.021162	48.223	5.225881	9.123436	42.654179	23.259943	-7.049782	-16.558115	32.314857	10.380974	-15.095841	27.514278	-2.628431	28.704737	52.877884	71.889	-14.318849	-2.133867	-13.401505	-9.273946	-19.856245	1.082359	-25.184977	-4.469763	22.153131	23.019594	-1.124076	38.747059	26.727928	14.570281	14.189419	9.128638	18.842215	-6.869293	49.951332	17.274534	-10.208266	-7.794288	10.473969	29.004194	7.134297	-19.717926	-7.566727	52.729309	28.560017	36.229469	30.374043	5.052317	-9.965294	25.598137	24.087646	15.211994	83.541725	35.905426	4.443552	11.383185	0.021708
1908.335938	-8.063493	5.885499	39.638145	2.512738	39.096058	14.812161	6.762531	58.859676	15.765549	10.99662	-12.612428	56.093536	18.729607	7.77906	59.703247	36.396912	38.093433	4.413397	18.349695	-26.98848	-5.317506	3.785885	13.713284	-15.018931	-34.105644	-0.078115	78.685677	4.409496	13.482082	0.224229	4.404417	33.42358	-5.439651	33.987843	23.330353	80.617119	80.750992	-4.448905	-3.340251	11.607074	-22.398325	-21.837873	28.207108	70.894806	-0.738542	-0.136584	10.920463	38.709972	7.818616	3.800977	-12.152696	2.355754	33.30201	-10.470437	1.032189	8.394969	20.538908	-1.893674	43.484486	23.149723	-52.457256	10.466251	-8.111018	0.452136	40.350357	15.230554	31.338377	-3.249231	47.105022	13.224235	-12.78476	12.443857	-21.181093	41.051449	7.88059	9.760936	27.089712	43.433983	0.553193	-14.092814	-8.605673	-11.49751	13.72093	34.193214	31.142281	-6.210351	15.13477	15.046933	80.322632	-10.902821	37.833401	-9.742479	8.031804	1.489389	11.495032	45.263813	-15.887764	-25.839941	6.589094	-36.816296	12.871433	0.022946
1906.998047	6.95938	-29.486912	45.821987	9.62157	-12.671147	29.927334	19.740543	11.136276	-17.979631	-27.147572	-1.829177	13.542068	24.381058	-13.28323	34.853928	93.639481	73.290031	-0.972961	-20.364304	4.922288	25.559046	-35.633579	32.977772	-4.069913	18.329233	19.80312	5.306424	12.335361	5.993864	3.950818	55.066154	1.498165	39.206161	7.474093	47.27602	8.87656	67.001343	11.101437	-4.877094	5.907565	42.442116	14.882719	-14.671618	46.921955	1.640069	25.432617	9.187277	34.754128	38.270947	-10.89647	27.172157	-14.503007	73.756485	36.319862	79.468529	12.976484	49.127136	9.951316	62.04055	51.308609	34.539997	-20.955156	0.741794	-0.783528	18.90346	7.076791	9.146593	14.793924	59.350452	19.285896	13.075876	5.338088	1.100293	6.721199	-10.129471	-4.124507	2.005694	56.715099	-10.889152	15.310455	-14.063005	-3.537616	20.188654	27.92819	-22.909817	15.909097	18.065788	30.075441	78.000168	-22.249317	63.668789	19.219643	93.150032	29.690674	10.373436	47.742481	-4.179202	18.086279	27.765705	-25.769053	17.671456	0.026939
1905.662109	33.126717	17.220362	-13.421224	12.82683	17.76062	-16.720982	-38.48114	30.619823	43.556778	43.017036	1.343049	51.293709	16.877159	55.332825	95.922104	87.240196	76.634117	-8.279255	-25.518637	6.857664	20.784855	37.055031	27.838028	44.230019	-19.061211	-23.878002	12.315665	16.517443	6.077074	9.382484	53.291878	34.932209	1.668499	38.759907	24.454803	-19.909979	30.771088	34.039234	8.470098	-11.080737	73.545395	6.679764	22.80567	41.536968	24.526667	9.856292	13.097512	10.195664	29.43194	26.586538	42.123692	7.811965	35.641846	-16.162115	43.760696	-3.218212	-0.770134	25.421654	48.853298	32.643791	71.083115	42.857975	15.067236	9.067188	1.18812	-8.78693	-18.738457	-10.313506	7.981535	10.419731	12.712942	-33.650604	51.343716	11.616747	16.623346	11.789574	-0.678188	2.606914	11.150626	33.43602	19.581999	24.880783	50.867252	10.385581	50.068344	-31.208096	-1.567638	28.174389	101.858261	31.894577	-22.739536	42.452969	26.697927	33.503365	-0.207721	67.048737	1.711916	-3.460953	-1.533109	30.083612	19.835048	0.028738
1904.324219	18.109262	-20.35825	0.254443	49.529427	-6.077077	43.123463	-10.849436	74.305481	65.768089	-12.179406	26.828955	27.273859	29.876753	-20.040936	67.184868	39.662933	50.016705	-15.626307	32.790356	33.043213	27.116533	34.90292	-40.935204	-10.310492	14.514212	29.653275	17.444582	35.652321	11.856864	27.75074	15.935758	-17.689518	46.461369	39.989117	55.824699	46.582119	35.626392	2.692053	27.359709	18.598854	48.50473	56.380295	-10.784293	8.016363	13.717972	11.099493	71.246452	15.516582	28.050797	34.004883	0.946518	-7.339049	-4.368365	32.138439	30.412279	-0.907939	48.446621	38.921036	-3.540292	2.698458	64.668304	9.359529	34.87788	15.060047	18.982594	18.131685	57.973473	9.310251	51.906109	42.706959	6.705375	80.544312	24.876451	50.120815	22.71376	-11.652767	20.904049	26.938877	40.508125	30.950357	-23.554728	36.378696	2.957108	11.48359	68.730827	39.386387	47.844677	54.220257	67.776985	13.185686	47.815723	0.161527	42.391659	37.245914	-5.278792	-3.36043	13.022708	59.080341	0.95817	9.238825	24.40095	0.032537
1902.986328	17.990883	18.53548	10.196019	54.307281	-3.801742	24.400417	22.240231	9.495667	7.557063	-33.831028	55.931084	8.787292	9.175374	26.033646	57.075447	49.976051	25.221659	34.919544	12.504387	31.140802	1.567333	32.696785	9.832515	30.448961	6.896137	58.879704	9.480019	-5.019559	-2.836757	-30.65354	-32.691654	17.472998	20.302523	-13.119483	-6.276672	79.364288	6.797397	-15.638987	-4.276515	5.223149	21.542461	55.568386	11.668331	4.308039	55.193542	36.629925	39.709507	-27.787405	67.765373	20.71578	10.188471	16.684235	37.825752	37.279636	-22.256025	25.507484	37.88237	-22.433975	-9.15699	2.593006	11.577815	54.263931	-46.35244	20.936258	-11.826392	5.587031	26.191278	26.926678	17.282858	-5.345894	0.661816	11.467744	37.600613	30.646162	15.62671	24.613724	64.874092	-10.484605	41.673931	26.551287	6.066832	4.799936	-2.034462	-43.537239	29.364048	55.7104	3.685335	5.416745	76.700462	76.767509	41.664032	-6.709129	39.279865	7.280138	38.14217	36.519566	26.015213	-11.110201	5.324293	14.515816	17.52066	0.026813
1901.648438	30.900505	-2.529438	36.96167	-4.585299	-20.267509	26.181843	-0.870869	-3.061602	24.053265	54.665043	-14.119004	12.653213	-17.180864	15.99376	-1.678254	-3.298656	75.126381	16.272787	44.461563	40.40517	86.168297	-1.32574	4.448366	35.669811	-4.522588	11.491913	1.50844	-32.596542	19.927689	17.329433	0.847273	22.666399	22.254574	10.263776	2.627156	28.002844	37.730339	5.204647	14.489394	49.717716	52.458111	2.400007	47.164261	43.484802	-15.501941	49.067074	8.216325	33.529881	40.183399	9.156804	11.905155	12.600599	27.654793	-2.581981	-11.450592	14.361964	4.933055	78.702675	17.034809	-29.344292	1.523924	16.845104	-8.083297	41.64999	13.423545	32.084782	-15.000545	25.725758	59.240669	-17.852987	65.591217	28.277489	33.445747	-3.80288	-15.838829	8.453646	30.321514	-3.124391	3.455063	-4.048993	31.809704	10.516054	4.111899	-23.848856	38.506313	-13.975639	11.748775	25.680824	63.211838	43.219803	87.773621	8.75059	11.769928	22.104134	4.844274	31.550926	46.301964	17.730036	5.959782	-4.545496	17.514688	0.026808
